dep_code,p_transf,p_orth,resources_mult,resource,usage
42,0.1,0.04,1,URO,0.886
42,0.2,0.04,1,CHIR/ORTHO,0.89
42,0.2,0.04,1,ANES,0.89
42,0.2,0.04,1,KINE_MCO,0.957
42,0.2,0.04,1,DAY_HC,0.745
42,0.2,0.04,1,KINE_DOM,1.0
42,0.2,0.04,1,KINE_SSR,1.0
42,0.2,0.04,1,finance,0.822
42,0.2,0.04,1,CSC,1.0
42,0.2,0.04,1,DERMA,1.0
42,0.2,0.04,1,ENDO,1.0
42,0.2,0.04,1,GASTRO,1.0
42,0.2,0.04,1,GYNECO,0.92
42,0.2,0.04,1,OPH,1.0
42,0.2,0.04,1,ORL,0.833
42,0.2,0.04,1,RHUMA,1.0
42,0.2,0.04,1,URO,0.886
42,0.3,0.04,1,CHIR/ORTHO,0.985
42,0.3,0.04,1,ANES,0.985
42,0.3,0.04,1,KINE_MCO,1.0
42,0.3,0.04,1,DAY_HC,1.0
42,0.3,0.04,1,KINE_DOM,1.0
42,0.3,0.04,1,KINE_SSR,1.0
42,0.3,0.04,1,finance,0.981
42,0.3,0.04,1,CSC,1.0
42,0.3,0.04,1,DERMA,1.0
42,0.3,0.04,1,ENDO,1.0
42,0.3,0.04,1,GASTRO,1.0
42,0.3,0.04,1,GYNECO,1.0
42,0.3,0.04,1,OPH,1.0
42,0.3,0.04,1,ORL,1.0
42,0.3,0.04,1,RHUMA,1.0
42,0.3,0.04,1,URO,1.0
42,0.4,0.04,1,CHIR/ORTHO,0.985
42,0.4,0.04,1,ANES,0.985
42,0.4,0.04,1,KINE_MCO,1.0
42,0.4,0.04,1,DAY_HC,1.0
42,0.4,0.04,1,KINE_DOM,1.0
42,0.4,0.04,1,KINE_SSR,1.0
42,0.4,0.04,1,finance,0.981
42,0.4,0.04,1,CSC,1.0
42,0.4,0.04,1,DERMA,1.0
42,0.4,0.04,1,ENDO,1.0
42,0.4,0.04,1,GASTRO,1.0
42,0.4,0.04,1,GYNECO,1.0
42,0.4,0.04,1,OPH,1.0
42,0.4,0.04,1,ORL,1.0
42,0.4,0.04,1,RHUMA,1.0
42,0.4,0.04,1,URO,1.0
42,0.5,0.04,1,CHIR/ORTHO,0.985
42,0.5,0.04,1,ANES,0.985
42,0.5,0.04,1,KINE_MCO,1.0
42,0.5,0.04,1,DAY_HC,1.0
42,0.5,0.04,1,KINE_DOM,1.0
42,0.5,0.04,1,KINE_SSR,1.0
42,0.5,0.04,1,finance,0.981
42,0.5,0.04,1,CSC,1.0
42,0.5,0.04,1,DERMA,1.0
42,0.5,0.04,1,ENDO,1.0
42,0.5,0.04,1,GASTRO,1.0
42,0.5,0.04,1,GYNECO,1.0
42,0.5,0.04,1,OPH,1.0
42,0.5,0.04,1,ORL,1.0
42,0.5,0.04,1,RHUMA,1.0
42,0.5,0.04,1,URO,1.0
42,0.6,0.04,1,CHIR/ORTHO,0.985
42,0.6,0.04,1,ANES,0.985
42,0.6,0.04,1,KINE_MCO,1.0
42,0.6,0.04,1,DAY_HC,1.0
42,0.6,0.04,1,KINE_DOM,1.0
42,0.6,0.04,1,KINE_SSR,1.0
42,0.6,0.04,1,finance,0.981
42,0.6,0.04,1,CSC,1.0
42,0.6,0.04,1,DERMA,1.0
42,0.6,0.04,1,ENDO,1.0
42,0.6,0.04,1,GASTRO,1.0
42,0.6,0.04,1,GYNECO,1.0
42,0.6,0.04,1,OPH,1.0
42,0.6,0.04,1,ORL,1.0
42,0.6,0.04,1,RHUMA,1.0
42,0.6,0.04,1,URO,1.0
42,0.7,0.04,1,CHIR/ORTHO,0.985
42,0.7,0.04,1,ANES,0.985
42,0.7,0.04,1,KINE_MCO,1.0
42,0.7,0.04,1,DAY_HC,1.0
42,0.7,0.04,1,KINE_DOM,1.0
42,0.7,0.04,1,KINE_SSR,1.0
42,0.7,0.04,1,finance,0.981
42,0.7,0.04,1,CSC,1.0
42,0.7,0.04,1,DERMA,1.0
42,0.7,0.04,1,ENDO,1.0
42,0.7,0.04,1,GASTRO,1.0
42,0.7,0.04,1,GYNECO,1.0
42,0.7,0.04,1,OPH,1.0
42,0.7,0.04,1,ORL,1.0
42,0.7,0.04,1,RHUMA,1.0
42,0.7,0.04,1,URO,1.0
42,0.8,0.04,1,CHIR/ORTHO,0.985
42,0.8,0.04,1,ANES,0.985
42,0.8,0.04,1,KINE_MCO,1.0
42,0.8,0.04,1,DAY_HC,1.0
42,0.8,0.04,1,KINE_DOM,1.0
42,0.8,0.04,1,KINE_SSR,1.0
42,0.8,0.04,1,finance,0.981
42,0.8,0.04,1,CSC,1.0
42,0.8,0.04,1,DERMA,1.0
42,0.8,0.04,1,ENDO,1.0
42,0.8,0.04,1,GASTRO,1.0
42,0.8,0.04,1,GYNECO,1.0
42,0.8,0.04,1,OPH,1.0
42,0.8,0.04,1,ORL,1.0
42,0.8,0.04,1,RHUMA,1.0
42,0.8,0.04,1,URO,1.0
42,0.9,0.04,1,CHIR/ORTHO,0.985
42,0.9,0.04,1,ANES,0.985
42,0.9,0.04,1,KINE_MCO,1.0
42,0.9,0.04,1,DAY_HC,1.0
42,0.9,0.04,1,KINE_DOM,1.0
42,0.9,0.04,1,KINE_SSR,1.0
42,0.9,0.04,1,finance,0.981
42,0.9,0.04,1,CSC,1.0
42,0.9,0.04,1,DERMA,1.0
42,0.9,0.04,1,ENDO,1.0
42,0.9,0.04,1,GASTRO,1.0
42,0.9,0.04,1,GYNECO,1.0
42,0.9,0.04,1,OPH,1.0
42,0.9,0.04,1,ORL,1.0
42,0.9,0.04,1,RHUMA,1.0
42,0.9,0.04,1,URO,1.0
42,1.0,0.04,1,CHIR/ORTHO,0.985
42,1.0,0.04,1,ANES,0.985
42,1.0,0.04,1,KINE_MCO,1.0
42,1.0,0.04,1,DAY_HC,1.0
42,1.0,0.04,1,KINE_DOM,1.0
42,1.0,0.04,1,KINE_SSR,1.0
42,1.0,0.04,1,finance,0.981
42,1.0,0.04,1,CSC,1.0
42,1.0,0.04,1,DERMA,1.0
42,1.0,0.04,1,ENDO,1.0
42,1.0,0.04,1,GASTRO,1.0
42,1.0,0.04,1,GYNECO,1.0
42,1.0,0.04,1,OPH,1.0
42,1.0,0.04,1,ORL,1.0
42,1.0,0.04,1,RHUMA,1.0
42,1.0,0.04,1,URO,1.0
42,0.0,0.08,1,CHIR/ORTHO,0.514
42,0.0,0.08,1,ANES,0.514
42,0.0,0.08,1,KINE_MCO,0.524
42,0.0,0.08,1,DAY_HC,0.159
42,0.0,0.08,1,KINE_DOM,1.0
42,0.0,0.08,1,KINE_SSR,0.104
42,0.0,0.08,1,finance,0.404
42,0.0,0.08,1,CSC,0.576
42,0.0,0.08,1,DERMA,0.691
42,0.0,0.08,1,ENDO,0.588
42,0.0,0.08,1,GASTRO,0.638
42,0.0,0.08,1,GYNECO,0.482
42,0.0,0.08,1,OPH,0.636
42,0.0,0.08,1,ORL,0.351
42,0.0,0.08,1,RHUMA,0.645
42,0.0,0.08,1,URO,0.397
42,0.1,0.08,1,CHIR/ORTHO,0.718
42,0.1,0.08,1,ANES,0.717
42,0.1,0.08,1,KINE_MCO,0.767
42,0.1,0.08,1,DAY_HC,0.464
42,0.1,0.08,1,KINE_DOM,1.0
42,0.1,0.08,1,KINE_SSR,1.0
42,0.1,0.08,1,finance,0.62
42,0.1,0.08,1,CSC,1.0
42,0.1,0.08,1,DERMA,1.0
42,0.1,0.08,1,ENDO,1.0
42,0.1,0.08,1,GASTRO,1.0
42,0.1,0.08,1,GYNECO,0.922
42,0.1,0.08,1,OPH,1.0
42,0.1,0.08,1,ORL,0.84
42,0.1,0.08,1,RHUMA,1.0
42,0.1,0.08,1,URO,0.889
42,0.2,0.08,1,CHIR/ORTHO,0.901
42,0.2,0.08,1,ANES,0.9
42,0.2,0.08,1,KINE_MCO,0.973
42,0.2,0.08,1,DAY_HC,0.79
42,0.2,0.08,1,KINE_DOM,1.0
42,0.2,0.08,1,KINE_SSR,1.0
42,0.2,0.08,1,finance,0.842
42,0.2,0.08,1,CSC,1.0
42,0.2,0.08,1,DERMA,1.0
42,0.2,0.08,1,ENDO,1.0
42,0.2,0.08,1,GASTRO,1.0
42,0.2,0.08,1,GYNECO,0.923
42,0.2,0.08,1,OPH,1.0
42,0.2,0.08,1,ORL,0.84
42,0.2,0.08,1,RHUMA,1.0
42,0.2,0.08,1,URO,0.889
42,0.3,0.08,1,CHIR/ORTHO,0.976
42,0.3,0.08,1,ANES,0.975
42,0.3,0.08,1,KINE_MCO,1.0
42,0.3,0.08,1,DAY_HC,1.0
42,0.3,0.08,1,KINE_DOM,1.0
42,0.3,0.08,1,KINE_SSR,1.0
42,0.3,0.08,1,finance,0.972
42,0.3,0.08,1,CSC,1.0
42,0.3,0.08,1,DERMA,1.0
42,0.3,0.08,1,ENDO,1.0
42,0.3,0.08,1,GASTRO,1.0
42,0.3,0.08,1,GYNECO,1.0
42,0.3,0.08,1,OPH,1.0
42,0.3,0.08,1,ORL,1.0
42,0.3,0.08,1,RHUMA,1.0
42,0.3,0.08,1,URO,1.0
42,0.4,0.08,1,CHIR/ORTHO,0.976
42,0.4,0.08,1,ANES,0.975
42,0.4,0.08,1,KINE_MCO,1.0
42,0.4,0.08,1,DAY_HC,1.0
42,0.4,0.08,1,KINE_DOM,1.0
42,0.4,0.08,1,KINE_SSR,1.0
42,0.4,0.08,1,finance,0.972
42,0.4,0.08,1,CSC,1.0
42,0.4,0.08,1,DERMA,1.0
42,0.4,0.08,1,ENDO,1.0
42,0.4,0.08,1,GASTRO,1.0
42,0.4,0.08,1,GYNECO,1.0
42,0.4,0.08,1,OPH,1.0
42,0.4,0.08,1,ORL,1.0
42,0.4,0.08,1,RHUMA,1.0
42,0.4,0.08,1,URO,1.0
42,0.5,0.08,1,CHIR/ORTHO,0.976
42,0.5,0.08,1,ANES,0.975
42,0.5,0.08,1,KINE_MCO,1.0
42,0.5,0.08,1,DAY_HC,1.0
42,0.5,0.08,1,KINE_DOM,1.0
42,0.5,0.08,1,KINE_SSR,1.0
42,0.5,0.08,1,finance,0.972
42,0.5,0.08,1,CSC,1.0
42,0.5,0.08,1,DERMA,1.0
42,0.5,0.08,1,ENDO,1.0
42,0.5,0.08,1,GASTRO,1.0
42,0.5,0.08,1,GYNECO,1.0
42,0.5,0.08,1,OPH,1.0
42,0.5,0.08,1,ORL,1.0
42,0.5,0.08,1,RHUMA,1.0
42,0.5,0.08,1,URO,1.0
42,0.6,0.08,1,CHIR/ORTHO,0.976
42,0.6,0.08,1,ANES,0.975
42,0.6,0.08,1,KINE_MCO,1.0
42,0.6,0.08,1,DAY_HC,1.0
42,0.6,0.08,1,KINE_DOM,1.0
42,0.6,0.08,1,KINE_SSR,1.0
42,0.6,0.08,1,finance,0.972
42,0.6,0.08,1,CSC,1.0
42,0.6,0.08,1,DERMA,1.0
42,0.6,0.08,1,ENDO,1.0
42,0.6,0.08,1,GASTRO,1.0
42,0.6,0.08,1,GYNECO,1.0
42,0.6,0.08,1,OPH,1.0
42,0.6,0.08,1,ORL,1.0
42,0.6,0.08,1,RHUMA,1.0
42,0.6,0.08,1,URO,1.0
42,0.7,0.08,1,CHIR/ORTHO,0.976
42,0.7,0.08,1,ANES,0.975
42,0.7,0.08,1,KINE_MCO,1.0
42,0.7,0.08,1,DAY_HC,1.0
42,0.7,0.08,1,KINE_DOM,1.0
42,0.7,0.08,1,KINE_SSR,1.0
42,0.7,0.08,1,finance,0.972
42,0.7,0.08,1,CSC,1.0
42,0.7,0.08,1,DERMA,1.0
42,0.7,0.08,1,ENDO,1.0
42,0.7,0.08,1,GASTRO,1.0
42,0.7,0.08,1,GYNECO,1.0
42,0.7,0.08,1,OPH,1.0
42,0.7,0.08,1,ORL,1.0
42,0.7,0.08,1,RHUMA,1.0
42,0.7,0.08,1,URO,1.0
42,0.8,0.08,1,CHIR/ORTHO,0.976
42,0.8,0.08,1,ANES,0.975
42,0.8,0.08,1,KINE_MCO,1.0
42,0.8,0.08,1,DAY_HC,1.0
42,0.8,0.08,1,KINE_DOM,1.0
42,0.8,0.08,1,KINE_SSR,1.0
42,0.8,0.08,1,finance,0.972
42,0.8,0.08,1,CSC,1.0
42,0.8,0.08,1,DERMA,1.0
42,0.8,0.08,1,ENDO,1.0
42,0.8,0.08,1,GASTRO,1.0
42,0.8,0.08,1,GYNECO,1.0
42,0.8,0.08,1,OPH,1.0
42,0.8,0.08,1,ORL,1.0
42,0.8,0.08,1,RHUMA,1.0
42,0.8,0.08,1,URO,1.0
42,0.9,0.08,1,CHIR/ORTHO,0.976
42,0.9,0.08,1,ANES,0.975
42,0.9,0.08,1,KINE_MCO,1.0
42,0.9,0.08,1,DAY_HC,1.0
42,0.9,0.08,1,KINE_DOM,1.0
42,0.9,0.08,1,KINE_SSR,1.0
42,0.9,0.08,1,finance,0.972
42,0.9,0.08,1,CSC,1.0
42,0.9,0.08,1,DERMA,1.0
42,0.9,0.08,1,ENDO,1.0
42,0.9,0.08,1,GASTRO,1.0
42,0.9,0.08,1,GYNECO,1.0
42,0.9,0.08,1,OPH,1.0
42,0.9,0.08,1,ORL,1.0
